"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050807","GO:0050807","regulation of synapse organization","38/448","298/17643",2.09506840542863e-16,8.49969252082397e-13,6.87182436980592e-13,"Magi2/Gpm6a/Lrfn5/Pgrmc1/Cfl1/Mdga2/Chd4/Ppfia2/Ywhaz/Wasl/Prnp/Actr2/Ptprt/Rheb/Pak3/Dgkb/Hnrnpk/Rock2/Actr3/Adgrb1/Tanc1/Nefl/Nrxn1/Sparcl1/Il1rapl1/Ptk2b/Mycbp2/Cttnbp2/Kalrn/Lingo2/Icam5/Neurod2/Nrcam/Gpr158/Adgrb2/Bhlhb9/Zfp804a/Hnrnpm",38
"GO:0050803","GO:0050803","regulation of synapse structure or activity","38/448","306/17643",5.09427024341206e-16,1.03337271887614e-12,8.35460319919578e-13,"Magi2/Gpm6a/Lrfn5/Pgrmc1/Cfl1/Mdga2/Chd4/Ppfia2/Ywhaz/Wasl/Prnp/Actr2/Ptprt/Rheb/Pak3/Dgkb/Hnrnpk/Rock2/Actr3/Adgrb1/Tanc1/Nefl/Nrxn1/Sparcl1/Il1rapl1/Ptk2b/Mycbp2/Cttnbp2/Kalrn/Lingo2/Icam5/Neurod2/Nrcam/Gpr158/Adgrb2/Bhlhb9/Zfp804a/Hnrnpm",38
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","35/448","262/17643",7.89716341994457e-16,1.06795973315717e-12,8.63423200580606e-13,"Magi2/Rims2/Syt1/Syt4/Mapk10/Btbd9/Atp2a2/Ppp3r1/Ppfia2/Snap25/Rab3a/Trim9/Atp6v1a/Cltc/Nsg1/Atp6v1h/Caly/Ppp3cb/Fgf14/Vamp2/Pfn2/Actg1/Dnm1/Nrxn1/Hpca/Amph/Rims1/Syt7/Pcdh17/Prepl/Cacna1e/Bsn/Synj1/Canx/Syt11",35
"GO:0099504","GO:0099504","synaptic vesicle cycle","31/448","222/17643",1.07923378027979e-14,1.09461286164878e-11,8.84971699829428e-12,"Magi2/Rims2/Syt1/Syt4/Btbd9/Atp2a2/Ppp3r1/Ppfia2/Snap25/Rab3a/Trim9/Atp6v1a/Cltc/Atp6v1h/Ppp3cb/Fgf14/Vamp2/Pfn2/Actg1/Dnm1/Nrxn1/Amph/Rims1/Syt7/Pcdh17/Prepl/Cacna1e/Bsn/Synj1/Canx/Syt11",31
"GO:0048167","GO:0048167","regulation of synaptic plasticity","32/448","248/17643",3.8333337257197e-14,3.11036698504897e-11,2.51466692407213e-11,"Rims2/Syt4/Slc4a10/Cfl1/Ncdn/Snap25/Rab3a/Rasgrf1/Nsg1/Chrd/Adcy1/Prnp/Hnrnpk/Fgf14/Vamp2/Adgrb1/Cpeb1/Ptk2b/Grik2/Rapgef2/Grm5/Rims1/Slc24a2/Mapk1/Neurod2/Syt7/Rasgrf2/Atp2b2/Slc8a2/Nptn/Large1/Lnpep",32
"GO:0002181","GO:0002181","cytoplasmic translation","22/448","135/17643",3.66079097091794e-12,2.26643233048804e-09,1.83236333349785e-09,"Rpl19/Rpl13/Rpl9/Rps10/Eif4a2/Pkm/Rpl17/Rps23/Rps14/Csde1/Ncbp1/Rplp1/Fau/Rpl27a/Rps15/Cpeb1/Hnrnpu/Rpsa/Rpl23/Impact/Nmnat2/Eif5",22
"GO:0006873","GO:0006873","intracellular monoatomic ion homeostasis","42/448","485/17643",3.91053150441614e-12,2.26643233048804e-09,1.83236333349785e-09,"Atp1b1/Atp6v0c/Slc4a10/Rnasek/Ckb/Atp2a2/Cx3cl1/Slc8a1/Calm3/Calm1/Grina/Atp6v1a/Plcb1/Prnp/Dmxl1/Aplp2/Calm2/Fth1/Nr3c2/Atp2b1/Dmd/Ndfip1/Ptk2b/Grik2/Grm1/Stim2/Cemip/Slc4a4/Slc24a2/Mapk1/Prkd1/Atp1a1/Atp1a3/Slc12a5/Atp2b2/Slc9a9/Ccdc47/Stk39/Fbxl5/Slc8a2/Nptn/Slc4a7",42
"GO:0099173","GO:0099173","postsynapse organization","29/448","248/17643",7.5529816039609e-12,3.83030579590867e-09,3.09672245762397e-09,"Magi2/Cntnap2/Cfl1/Nos1ap/Ppfia2/Wasl/Prnp/Actr2/Rheb/Pak3/Dgkb/Hnrnpk/Rock2/Actr3/Adgrb1/Gphn/Tanc1/Cnksr2/Nrxn1/Il1rapl1/Ptk2b/Dlg2/Kalrn/Nrcam/Nptxr/Bhlhb9/Zfp804a/Hnrnpm/Cpne6",29
"GO:0007611","GO:0007611","learning or memory","32/448","308/17643",1.47886704557709e-11,6.66640400434028e-09,5.38964878832539e-09,"Specc1/Pja2/Cck/Cntnap2/Pgrmc1/Syt4/Btbd9/Snap25/Cyp7b1/Csmd1/Plcb1/Chrd/Adcy1/Prnp/Tanc1/Nrxn1/Amph/Kalrn/Brinp1/Grm5/Slc24a2/Neurod2/Atp1a3/Slc12a5/Bhlhb9/Cacna1e/Synj1/Pias1/Slc8a2/Nptn/Syt11/Large1",32
"GO:0030003","GO:0030003","intracellular monoatomic cation homeostasis","40/448","474/17643",2.91137667371684e-11,1.18114551652692e-08,9.54931548979124e-09,"Atp1b1/Atp6v0c/Slc4a10/Rnasek/Atp2a2/Cx3cl1/Slc8a1/Calm3/Calm1/Grina/Atp6v1a/Plcb1/Prnp/Dmxl1/Aplp2/Calm2/Fth1/Nr3c2/Atp2b1/Dmd/Ndfip1/Ptk2b/Grik2/Grm1/Stim2/Cemip/Slc4a4/Slc24a2/Mapk1/Prkd1/Atp1a1/Atp1a3/Slc12a5/Atp2b2/Slc9a9/Ccdc47/Fbxl5/Slc8a2/Nptn/Slc4a7",40
