"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035235","GO:0035235","ionotropic glutamate receptor signaling pathway","4/37","19/17643",6.20206977014374e-08,5.9415828397977e-05,4.58953162990636e-05,"Atp1a3/Grin2a/Grin1/Gria2",4
"GO:1990806","GO:1990806","ligand-gated ion channel signaling pathway","4/37","31/17643",4.94512465466721e-07,0.000236871470958559,0.000182969612222687,"Atp1a3/Grin2a/Grin1/Gria2",4
"GO:0007215","GO:0007215","glutamate receptor signaling pathway","4/37","48/17643",2.98123018912346e-06,0.000730194335129244,0.000564033202500669,"Atp1a3/Grin2a/Grin1/Gria2",4
"GO:0006123","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","3/37","15/17643",3.79667317760996e-06,0.000730194335129244,0.000564033202500669,"Cox6a1/Cox8a/Cox7b",3
"GO:0106027","GO:0106027","neuron projection organization","5/37","114/17643",3.81103515203154e-06,0.000730194335129244,0.000564033202500669,"Dvl1/Atp1a3/Grin2a/Camk2b/Grin1",5
"GO:0048675","GO:0048675","axon extension","5/37","135/17643",8.71877479536923e-06,0.00139209770899395,0.00107531555809554,"Hsp90aa1/L1cam/Hsp90ab1/Dvl1/Ttc3",5
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions","6/37","264/17643",1.67026292454431e-05,0.00177790209079273,0.00137332729351421,"Hspa8/Celf5/Celf2/Srrm2/Prpf4b/Malat1",6
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","6/37","264/17643",1.67026292454431e-05,0.00177790209079273,0.00137332729351421,"Hspa8/Celf5/Celf2/Srrm2/Prpf4b/Malat1",6
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","6/37","264/17643",1.67026292454431e-05,0.00177790209079273,0.00137332729351421,"Hspa8/Celf5/Celf2/Srrm2/Prpf4b/Malat1",6
"GO:0050803","GO:0050803","regulation of synapse structure or activity","6/37","306/17643",3.83084398206099e-05,0.00319993456416851,0.00247176573850177,"Hspa8/Slc17a7/Dvl1/Camk2b/Grin1/Malat1",6
"GO:0007409","GO:0007409","axonogenesis","7/37","456/17643",3.86984040006518e-05,0.00319993456416851,0.00247176573850177,"Hsp90aa1/L1cam/Hsp90ab1/Dvl1/Grin1/Tubb2b/Ttc3",7
"GO:0060079","GO:0060079","excitatory postsynaptic potential","4/37","92/17643",4.00826876513801e-05,0.00319993456416851,0.00247176573850177,"Slc17a7/Dvl1/Grin2a/Grin1",4
"GO:0048024","GO:0048024","regulation of mRNA splicing, via spliceosome","4/37","100/17643",5.55817381305647e-05,0.00369135511948401,0.0028513599044031,"Hspa8/Celf5/Celf2/Malat1",4
"GO:1990138","GO:1990138","neuron projection extension","5/37","200/17643",5.77900979515658e-05,0.00369135511948401,0.0028513599044031,"Hsp90aa1/L1cam/Hsp90ab1/Dvl1/Ttc3",5
"GO:0001964","GO:0001964","startle response","3/37","36/17643",5.77978359000628e-05,0.00369135511948401,0.0028513599044031,"Dvl1/Grin2a/Grin1",3
"GO:0048169","GO:0048169","regulation of long-term neuronal synaptic plasticity","3/37","37/17643",6.28068773891954e-05,0.00376056178367808,0.00290481807925029,"Grin2a/Camk2b/Grin1",3
"GO:0097061","GO:0097061","dendritic spine organization","4/37","105/17643",6.72530602963754e-05,0.00378990775081927,0.00292748615407752,"Dvl1/Grin2a/Camk2b/Grin1",4
"GO:2000463","GO:2000463","positive regulation of excitatory postsynaptic potential","3/37","40/17643",7.95173280590326e-05,0.00423208890447518,0.00326904570909356,"Dvl1/Grin2a/Grin1",3
"GO:0099565","GO:0099565","chemical synaptic transmission, postsynaptic","4/37","114/17643",9.26258663373822e-05,0.00467029368164274,0.0036075337415612,"Slc17a7/Dvl1/Grin2a/Grin1",4
"GO:0035249","GO:0035249","synaptic transmission, glutamatergic","4/37","119/17643",0.000109404339186452,0.00524046784703107,0.00404796054989874,"Slc17a7/Grin2a/Grin1/Gria2",4
"GO:0050684","GO:0050684","regulation of mRNA processing","4/37","124/17643",0.000128288513341445,0.00585239979910021,0.0045206428510795,"Hspa8/Celf5/Celf2/Malat1",4
"GO:0060078","GO:0060078","regulation of postsynaptic membrane potential","4/37","127/17643",0.000140693591302248,0.00612656638488882,0.00473242079834836,"Slc17a7/Dvl1/Grin2a/Grin1",4
"GO:0099173","GO:0099173","postsynapse organization","5/37","248/17643",0.000159096324357165,0.00662670777105061,0.00511875130540444,"Hspa8/Dvl1/Grin2a/Camk2b/Grin1",5
"GO:0008380","GO:0008380","RNA splicing","6/37","406/17643",0.000181793758072439,0.00709054197942683,0.00547703660206248,"Hspa8/Celf5/Celf2/Srrm2/Prpf4b/Malat1",6
"GO:0019646","GO:0019646","aerobic electron transport chain","3/37","53/17643",0.000185035020339949,0.00709054197942683,0.00547703660206248,"Cox6a1/Cox8a/Cox7b",3
"GO:0099175","GO:0099175","regulation of postsynapse organization","4/37","138/17643",0.0001936872750331,0.00713663113391193,0.00551263782786516,"Hspa8/Dvl1/Camk2b/Grin1",4
