"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007409","GO:0007409","axonogenesis","29/139","456/17643",1.88549571882806e-18,4.72128127994547e-15,3.67373955321131e-15,"Nfix/Bcl11a/Ank3/Mapt/Dcc/Macf1/Robo1/Ncam1/Clasp2/Tubb3/Ttc3/Nfib/Agrn/Stmn1/Neo1/Cdh2/Unc5d/Gap43/Tenm2/Actb/Ptprs/Cntn5/Ctnna2/Dab1/Cntnap2/Slit3/Cdh11/Prkg1/App",29
"GO:0034329","GO:0034329","cell junction assembly","23/139","431/17643",3.7769148188447e-13,4.72869735319356e-10,3.6795101735166e-10,"Mapt/Macf1/Robo1/Nrxn2/Sorbs1/Clasp2/Negr1/Agrn/Cdh2/Cadm1/Lingo2/Kirrel3/Gap43/Actb/Ptprs/Cntn5/Cntnap2/Ctnnd2/Nrxn1/Nrg1/Cdh11/Asic2/App",23
"GO:0007416","GO:0007416","synapse assembly","17/139","213/17643",9.69735883200841e-13,8.09406217178302e-10,6.29817936773599e-10,"Mapt/Robo1/Nrxn2/Negr1/Agrn/Cdh2/Cadm1/Lingo2/Kirrel3/Gap43/Ptprs/Cntn5/Cntnap2/Nrxn1/Nrg1/Asic2/App",17
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","16/139","192/17643",2.42399413315778e-12,1.51742032735677e-09,1.18074030012501e-09,"Robo1/Cdh2/Cadm1/Unc5d/Kirrel3/Tenm1/Tenm2/Ptprs/Cntn5/Pcdh15/Dab1/Nrxn1/Nrg1/Tenm3/Cdh11/Tenm4",16
"GO:0022898","GO:0022898","regulation of transmembrane transporter activity","15/139","262/17643",2.38666921694208e-09,8.66188770545702e-07,6.74001771599165e-07,"Cacna1d/Prrt1/Ank2/Ank3/Agrn/Actb/Chrm3/Grip1/Nrxn1/Hecw1/Pde4d/Asic2/App/Akap6/Dmd",15
"GO:0007411","GO:0007411","axon guidance","14/139","222/17643",2.42145423075875e-09,8.66188770545702e-07,6.74001771599165e-07,"Ank3/Dcc/Robo1/Ncam1/Tubb3/Nfib/Agrn/Neo1/Unc5d/Gap43/Tenm2/Cntn5/Slit3/App",14
"GO:0097485","GO:0097485","neuron projection guidance","14/139","222/17643",2.42145423075875e-09,8.66188770545702e-07,6.74001771599165e-07,"Ank3/Dcc/Robo1/Ncam1/Tubb3/Nfib/Agrn/Neo1/Unc5d/Gap43/Tenm2/Cntn5/Slit3/App",14
"GO:0032409","GO:0032409","regulation of transporter activity","15/139","273/17643",4.18009012137487e-09,1.30836820799033e-06,1.01807194929801e-06,"Cacna1d/Prrt1/Ank2/Ank3/Agrn/Actb/Chrm3/Grip1/Nrxn1/Hecw1/Pde4d/Asic2/App/Akap6/Dmd",15
"GO:0032412","GO:0032412","regulation of monoatomic ion transmembrane transporter activity","14/139","254/17643",1.35964888007074e-08,3.78284532855236e-06,2.94352055790752e-06,"Cacna1d/Prrt1/Ank2/Ank3/Agrn/Chrm3/Grip1/Nrxn1/Hecw1/Pde4d/Asic2/App/Akap6/Dmd",14
"GO:0042391","GO:0042391","regulation of membrane potential","18/139","455/17643",1.91695582742835e-08,4.8000573918806e-06,3.73503709112619e-06,"Cacna1d/Ank2/Ubb/Cacna1c/Ank3/Mapt/Agrn/Celf4/Dpp6/Cntnap2/Slc8a1/Nrxn1/Kcnh7/Gnaq/Asic2/App/Akap6/Dmd",18
"GO:0034765","GO:0034765","regulation of monoatomic ion transmembrane transport","17/139","430/17643",4.95270506856841e-08,1.11081868579055e-05,8.64354038758324e-06,"Cacna1d/Ank2/Cacna1c/Ank3/Cacna1b/Agrn/Dpp6/Slc8a1/Grip1/Hecw1/Pde4d/Kcnh7/Kcnb2/Asic2/App/Akap6/Dmd",17
"GO:0030900","GO:0030900","forebrain development","16/139","380/17643",5.32341223222307e-08,1.11081868579055e-05,8.64354038758324e-06,"Ubb/Nfix/Robo1/Ncam1/Nfib/Cdh2/Kirrel3/Ptprs/Dab1/Cntnap2/Nrg1/Zswim6/Prkg1/Gnaq/App/Herc1",16
"GO:0007157","GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","7/139","47/17643",7.82576815530714e-08,1.48122419322327e-05,1.15257524031288e-05,"Cdh2/Cadm1/Tenm1/Tenm2/Nrxn1/Tenm3/Tenm4",7
"GO:0099173","GO:0099173","postsynapse organization","13/139","248/17643",8.2816049141876e-08,1.48122419322327e-05,1.15257524031288e-05,"Nrxn2/Sorbs1/Agrn/Cdh2/Cadm1/Ube3a/Gap43/Actb/Ptprs/Cntnap2/Ctnnd2/Nrxn1/App",13
"GO:0050807","GO:0050807","regulation of synapse organization","14/139","298/17643",1.00230705478706e-07,1.67318457679119e-05,1.3019441111655e-05,"Robo1/Negr1/Agrn/Cdh2/Ube3a/Lingo2/Malat1/Tubb5/Ptprs/Ctnna2/Nrxn1/Nrg1/Asic2/App",14
"GO:0019722","GO:0019722","calcium-mediated signaling","11/139","174/17643",1.31185525159278e-07,2.04472387981556e-05,1.59104754562746e-05,"Cacna1d/Ank2/Mapt/Ncam1/Tenm2/Chrm3/Slc8a1/Nrg1/App/Akap6/Dmd",11
"GO:0050803","GO:0050803","regulation of synapse structure or activity","14/139","306/17643",1.38819113246264e-07,2.04472387981556e-05,1.59104754562746e-05,"Robo1/Negr1/Agrn/Cdh2/Ube3a/Lingo2/Malat1/Tubb5/Ptprs/Ctnna2/Nrxn1/Nrg1/Asic2/App",14
"GO:0007611","GO:0007611","learning or memory","14/139","308/17643",1.50356949044563e-07,2.09163222448659e-05,1.62754802737712e-05,"Prrt1/Nfix/Cacna1c/Mapt/Nrxn2/Ncam1/Grm7/Ube3a/Cntnap2/Ctnnd2/Nrxn1/Pde4d/Nrg1/App",14
"GO:0019932","GO:0019932","second-messenger-mediated signaling","13/139","268/17643",2.03465517823053e-07,2.67606900646667e-05,2.08231197703456e-05,"Cacna1d/Ank2/Mapt/Ncam1/Tenm2/Chrm3/Slc8a1/Pde4d/Nrg1/Prkg1/App/Akap6/Dmd",13
"GO:0016358","GO:0016358","dendrite development","14/139","317/17643",2.13743530867945e-07,2.67606900646667e-05,2.08231197703456e-05,"Bcl11a/Robo1/Ube3a/Rere/Ptprs/Ctnna2/Dab1/Cntnap2/Grip1/Ctnnd2/Hecw1/Prkg1/App/Camk1d",14
"GO:1904062","GO:1904062","regulation of monoatomic cation transmembrane transport","14/139","321/17643",2.48960693519141e-07,2.83840377636621e-05,2.20862846395403e-05,"Cacna1d/Ank2/Cacna1c/Ank3/Agrn/Dpp6/Slc8a1/Grip1/Hecw1/Pde4d/Asic2/App/Akap6/Dmd",14
"GO:1901888","GO:1901888","regulation of cell junction assembly","12/139","229/17643",2.67776711941351e-07,2.83840377636621e-05,2.20862846395403e-05,"Macf1/Robo1/Clasp2/Negr1/Agrn/Lingo2/Ptprs/Cntnap2/Nrxn1/Nrg1/Asic2/App",12
