gene,frequency,go_terms
Nrxn1,14,"postsynapse organization (GO:0099173, p=7.38e-08); regulation of transmembrane transporter activity (GO:0022898, p=1.91e-07); regulation of transporter activity (GO:0032409, p=3.87e-07); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=9.03e-07); cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=7.56e-06); regulation of membrane potential (GO:0042391, p=6.64e-05); cognition (GO:0050890, p=5.65e-04); learning or memory (GO:0007611, p=6.96e-04); postsynaptic density organization (GO:0097106, p=1.37e-03); synapse assembly (GO:0007416, p=1.59e-03); protein localization to cell periphery (GO:1990778, p=2.28e-03); cell junction assembly (GO:0034329, p=3.00e-03); startle response (GO:0001964, p=6.07e-03); synaptic membrane adhesion (GO:0099560, p=6.07e-03)"
App,14,"postsynapse organization (GO:0099173, p=7.38e-08); regulation of transmembrane transporter activity (GO:0022898, p=1.91e-07); regulation of transporter activity (GO:0032409, p=3.87e-07); regulation of monoatomic ion transmembrane transport (GO:0034765, p=7.95e-07); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=9.03e-07); regulation of monoatomic cation transmembrane transport (GO:1904062, p=3.71e-05); regulation of membrane potential (GO:0042391, p=6.64e-05); axonogenesis (GO:0007409, p=3.35e-04); forebrain development (GO:0030900, p=4.79e-04); cognition (GO:0050890, p=5.65e-04); learning or memory (GO:0007611, p=6.96e-04); dendrite development (GO:0016358, p=1.03e-03); synapse assembly (GO:0007416, p=1.59e-03); cell junction assembly (GO:0034329, p=3.00e-03)"
Grin2a,12,"postsynapse organization (GO:0099173, p=7.38e-08); regulation of transmembrane transporter activity (GO:0022898, p=1.91e-07); regulation of transporter activity (GO:0032409, p=3.87e-07); regulation of monoatomic ion transmembrane transport (GO:0034765, p=7.95e-07); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=9.03e-07); regulation of monoatomic cation transmembrane transport (GO:1904062, p=3.71e-05); regulation of membrane potential (GO:0042391, p=6.64e-05); action potential (GO:0001508, p=1.75e-04); cognition (GO:0050890, p=5.65e-04); learning or memory (GO:0007611, p=6.96e-04); protein localization to cell periphery (GO:1990778, p=2.28e-03); startle response (GO:0001964, p=6.07e-03)"
Cntnap2,11,"postsynapse organization (GO:0099173, p=7.38e-08); regulation of membrane potential (GO:0042391, p=6.64e-05); action potential (GO:0001508, p=1.75e-04); axonogenesis (GO:0007409, p=3.35e-04); forebrain development (GO:0030900, p=4.79e-04); cognition (GO:0050890, p=5.65e-04); learning or memory (GO:0007611, p=6.96e-04); dendrite development (GO:0016358, p=1.03e-03); postsynaptic density organization (GO:0097106, p=1.37e-03); synapse assembly (GO:0007416, p=1.59e-03); cell junction assembly (GO:0034329, p=3.00e-03)"
Ank3,10,"regulation of transmembrane transporter activity (GO:0022898, p=1.91e-07); regulation of transporter activity (GO:0032409, p=3.87e-07); regulation of monoatomic ion transmembrane transport (GO:0034765, p=7.95e-07); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=9.03e-07); regulation of monoatomic cation transmembrane transport (GO:1904062, p=3.71e-05); regulation of membrane potential (GO:0042391, p=6.64e-05); action potential (GO:0001508, p=1.75e-04); axonogenesis (GO:0007409, p=3.35e-04); protein localization to cell periphery (GO:1990778, p=2.28e-03); regulation of metal ion transport (GO:0010959, p=6.04e-03)"
Ptprs,9,"postsynapse organization (GO:0099173, p=7.38e-08); cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=7.56e-06); axonogenesis (GO:0007409, p=3.35e-04); forebrain development (GO:0030900, p=4.79e-04); dendrite development (GO:0016358, p=1.03e-03); postsynaptic density organization (GO:0097106, p=1.37e-03); synapse assembly (GO:0007416, p=1.59e-03); cell junction assembly (GO:0034329, p=3.00e-03); synaptic membrane adhesion (GO:0099560, p=6.07e-03)"
Scn3b,9,"regulation of transmembrane transporter activity (GO:0022898, p=1.91e-07); regulation of transporter activity (GO:0032409, p=3.87e-07); regulation of monoatomic ion transmembrane transport (GO:0034765, p=7.95e-07); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=9.03e-07); regulation of monoatomic cation transmembrane transport (GO:1904062, p=3.71e-05); regulation of membrane potential (GO:0042391, p=6.64e-05); action potential (GO:0001508, p=1.75e-04); protein localization to cell periphery (GO:1990778, p=2.28e-03); regulation of metal ion transport (GO:0010959, p=6.04e-03)"
Plcb1,9,"regulation of transmembrane transporter activity (GO:0022898, p=1.91e-07); regulation of transporter activity (GO:0032409, p=3.87e-07); regulation of monoatomic ion transmembrane transport (GO:0034765, p=7.95e-07); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=9.03e-07); regulation of monoatomic cation transmembrane transport (GO:1904062, p=3.71e-05); forebrain development (GO:0030900, p=4.79e-04); cognition (GO:0050890, p=5.65e-04); learning or memory (GO:0007611, p=6.96e-04); regulation of metal ion transport (GO:0010959, p=6.04e-03)"
Cdh2,8,"postsynapse organization (GO:0099173, p=7.38e-08); cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=7.56e-06); axonogenesis (GO:0007409, p=3.35e-04); forebrain development (GO:0030900, p=4.79e-04); postsynaptic density organization (GO:0097106, p=1.37e-03); synapse assembly (GO:0007416, p=1.59e-03); protein localization to cell periphery (GO:1990778, p=2.28e-03); cell junction assembly (GO:0034329, p=3.00e-03)"
Cacna2d1,8,"regulation of transmembrane transporter activity (GO:0022898, p=1.91e-07); regulation of transporter activity (GO:0032409, p=3.87e-07); regulation of monoatomic ion transmembrane transport (GO:0034765, p=7.95e-07); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=9.03e-07); regulation of monoatomic cation transmembrane transport (GO:1904062, p=3.71e-05); regulation of membrane potential (GO:0042391, p=6.64e-05); action potential (GO:0001508, p=1.75e-04); regulation of metal ion transport (GO:0010959, p=6.04e-03)"
