gene,frequency,go_terms
Malat1,12,"regulation of mRNA processing (GO:0050684, p=5.56e-05); RNA splicing, via transesterification reactions (GO:0000375, p=1.61e-04); RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377, p=1.61e-04); mRNA splicing, via spliceosome (GO:0000398, p=1.61e-04); regulation of mRNA splicing, via spliceosome (GO:0048024, p=2.36e-04); mRNA processing (GO:0006397, p=3.94e-04); regulation of synapse structure or activity (GO:0050803, p=6.29e-04); RNA splicing (GO:0008380, p=1.02e-03); regulation of mRNA metabolic process (GO:1903311, p=2.45e-03); regulation of synapse organization (GO:0050807, p=4.74e-03); regulation of RNA splicing (GO:0043484, p=8.79e-03); alternative mRNA splicing, via spliceosome (GO:0000380, p=1.81e-02)"
Hspa8,11,"regulation of mRNA processing (GO:0050684, p=5.56e-05); RNA splicing, via transesterification reactions (GO:0000375, p=1.61e-04); RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377, p=1.61e-04); mRNA splicing, via spliceosome (GO:0000398, p=1.61e-04); regulation of mRNA splicing, via spliceosome (GO:0048024, p=2.36e-04); mRNA processing (GO:0006397, p=3.94e-04); regulation of synapse structure or activity (GO:0050803, p=6.29e-04); RNA splicing (GO:0008380, p=1.02e-03); regulation of mRNA metabolic process (GO:1903311, p=2.45e-03); regulation of synapse organization (GO:0050807, p=4.74e-03); regulation of RNA splicing (GO:0043484, p=8.79e-03)"
Ddx5,10,"regulation of mRNA processing (GO:0050684, p=5.56e-05); RNA splicing, via transesterification reactions (GO:0000375, p=1.61e-04); RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377, p=1.61e-04); mRNA splicing, via spliceosome (GO:0000398, p=1.61e-04); regulation of mRNA splicing, via spliceosome (GO:0048024, p=2.36e-04); mRNA processing (GO:0006397, p=3.94e-04); RNA splicing (GO:0008380, p=1.02e-03); regulation of mRNA metabolic process (GO:1903311, p=2.45e-03); regulation of RNA splicing (GO:0043484, p=8.79e-03); alternative mRNA splicing, via spliceosome (GO:0000380, p=1.81e-02)"
Celf5,10,"regulation of mRNA processing (GO:0050684, p=5.56e-05); RNA splicing, via transesterification reactions (GO:0000375, p=1.61e-04); RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377, p=1.61e-04); mRNA splicing, via spliceosome (GO:0000398, p=1.61e-04); regulation of mRNA splicing, via spliceosome (GO:0048024, p=2.36e-04); mRNA processing (GO:0006397, p=3.94e-04); RNA splicing (GO:0008380, p=1.02e-03); regulation of mRNA metabolic process (GO:1903311, p=2.45e-03); regulation of RNA splicing (GO:0043484, p=8.79e-03); alternative mRNA splicing, via spliceosome (GO:0000380, p=1.81e-02)"
Celf2,10,"regulation of mRNA processing (GO:0050684, p=5.56e-05); RNA splicing, via transesterification reactions (GO:0000375, p=1.61e-04); RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377, p=1.61e-04); mRNA splicing, via spliceosome (GO:0000398, p=1.61e-04); regulation of mRNA splicing, via spliceosome (GO:0048024, p=2.36e-04); mRNA processing (GO:0006397, p=3.94e-04); RNA splicing (GO:0008380, p=1.02e-03); regulation of mRNA metabolic process (GO:1903311, p=2.45e-03); regulation of RNA splicing (GO:0043484, p=8.79e-03); alternative mRNA splicing, via spliceosome (GO:0000380, p=1.81e-02)"
Snrnp70,9,"regulation of mRNA processing (GO:0050684, p=5.56e-05); RNA splicing, via transesterification reactions (GO:0000375, p=1.61e-04); RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377, p=1.61e-04); mRNA splicing, via spliceosome (GO:0000398, p=1.61e-04); regulation of mRNA splicing, via spliceosome (GO:0048024, p=2.36e-04); mRNA processing (GO:0006397, p=3.94e-04); RNA splicing (GO:0008380, p=1.02e-03); regulation of mRNA metabolic process (GO:1903311, p=2.45e-03); regulation of RNA splicing (GO:0043484, p=8.79e-03)"
Son,9,"regulation of mRNA processing (GO:0050684, p=5.56e-05); RNA splicing, via transesterification reactions (GO:0000375, p=1.61e-04); RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377, p=1.61e-04); mRNA splicing, via spliceosome (GO:0000398, p=1.61e-04); regulation of mRNA splicing, via spliceosome (GO:0048024, p=2.36e-04); mRNA processing (GO:0006397, p=3.94e-04); RNA splicing (GO:0008380, p=1.02e-03); regulation of mRNA metabolic process (GO:1903311, p=2.45e-03); regulation of RNA splicing (GO:0043484, p=8.79e-03)"
Rsrc1,6,"RNA splicing, via transesterification reactions (GO:0000375, p=1.61e-04); RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377, p=1.61e-04); mRNA splicing, via spliceosome (GO:0000398, p=1.61e-04); mRNA processing (GO:0006397, p=3.94e-04); RNA splicing (GO:0008380, p=1.02e-03); alternative mRNA splicing, via spliceosome (GO:0000380, p=1.81e-02)"
Grin1,6,"regulation of synapse structure or activity (GO:0050803, p=6.29e-04); ionotropic glutamate receptor signaling pathway (GO:0035235, p=1.35e-03); axonogenesis (GO:0007409, p=3.17e-03); regulation of synapse organization (GO:0050807, p=4.74e-03); ligand-gated ion channel signaling pathway (GO:1990806, p=1.05e-02); startle response (GO:0001964, p=1.94e-02)"
Cwc22,5,"RNA splicing, via transesterification reactions (GO:0000375, p=1.61e-04); RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377, p=1.61e-04); mRNA splicing, via spliceosome (GO:0000398, p=1.61e-04); mRNA processing (GO:0006397, p=3.94e-04); RNA splicing (GO:0008380, p=1.02e-03)"
Srrm2,5,"RNA splicing, via transesterification reactions (GO:0000375, p=1.61e-04); RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377, p=1.61e-04); mRNA splicing, via spliceosome (GO:0000398, p=1.61e-04); mRNA processing (GO:0006397, p=3.94e-04); RNA splicing (GO:0008380, p=1.02e-03)"
Dvl1,5,"regulation of synapse structure or activity (GO:0050803, p=6.29e-04); axonogenesis (GO:0007409, p=3.17e-03); regulation of synapse organization (GO:0050807, p=4.74e-03); startle response (GO:0001964, p=1.94e-02); axon extension (GO:0048675, p=2.64e-02)"
Ptprs,4,"regulation of synapse structure or activity (GO:0050803, p=6.29e-04); axonogenesis (GO:0007409, p=3.17e-03); regulation of synapse organization (GO:0050807, p=4.74e-03); axon extension (GO:0048675, p=2.64e-02)"
Safb,3,"regulation of mRNA processing (GO:0050684, p=5.56e-05); mRNA processing (GO:0006397, p=3.94e-04); regulation of mRNA metabolic process (GO:1903311, p=2.45e-03)"
Pabpc1,3,"mRNA processing (GO:0006397, p=3.94e-04); RNA splicing (GO:0008380, p=1.02e-03); regulation of mRNA metabolic process (GO:1903311, p=2.45e-03)"
Tuba1a,3,"regulation of synapse structure or activity (GO:0050803, p=6.29e-04); regulation of synapse organization (GO:0050807, p=4.74e-03); startle response (GO:0001964, p=1.94e-02)"
Grin2a,3,"ionotropic glutamate receptor signaling pathway (GO:0035235, p=1.35e-03); ligand-gated ion channel signaling pathway (GO:1990806, p=1.05e-02); startle response (GO:0001964, p=1.94e-02)"
Tubb5,2,"regulation of synapse structure or activity (GO:0050803, p=6.29e-04); regulation of synapse organization (GO:0050807, p=4.74e-03)"
Camkv,2,"regulation of synapse structure or activity (GO:0050803, p=6.29e-04); regulation of synapse organization (GO:0050807, p=4.74e-03)"
Camk2b,2,"regulation of synapse structure or activity (GO:0050803, p=6.29e-04); regulation of synapse organization (GO:0050807, p=4.74e-03)"
Gria2,2,"ionotropic glutamate receptor signaling pathway (GO:0035235, p=1.35e-03); ligand-gated ion channel signaling pathway (GO:1990806, p=1.05e-02)"
Atp1a3,2,"ionotropic glutamate receptor signaling pathway (GO:0035235, p=1.35e-03); ligand-gated ion channel signaling pathway (GO:1990806, p=1.05e-02)"
Hsp90ab1,2,"axonogenesis (GO:0007409, p=3.17e-03); axon extension (GO:0048675, p=2.64e-02)"
Sema3c,2,"axonogenesis (GO:0007409, p=3.17e-03); axon extension (GO:0048675, p=2.64e-02)"
L1cam,2,"axonogenesis (GO:0007409, p=3.17e-03); axon extension (GO:0048675, p=2.64e-02)"
Hsp90aa1,2,"axonogenesis (GO:0007409, p=3.17e-03); axon extension (GO:0048675, p=2.64e-02)"
Slc17a7,1,"regulation of synapse structure or activity (GO:0050803, p=6.29e-04)"
Actg1,1,"axonogenesis (GO:0007409, p=3.17e-03)"
Tubb2b,1,"axonogenesis (GO:0007409, p=3.17e-03)"
Actb,1,"axonogenesis (GO:0007409, p=3.17e-03)"
Ntng1,1,"axonogenesis (GO:0007409, p=3.17e-03)"
