gene,frequency,go_terms
Nrxn1,14,"regulation of synapse organization (GO:0050807, p=2.44e-11); regulation of synapse structure or activity (GO:0050803, p=5.27e-11); synapse assembly (GO:0007416, p=1.40e-08); cell junction assembly (GO:0034329, p=3.51e-08); postsynapse organization (GO:0099173, p=3.97e-07); negative regulation of cell projection organization (GO:0031345, p=5.69e-07); protein localization to cell junction (GO:1902414, p=1.30e-06); protein localization to cell periphery (GO:1990778, p=2.10e-06); protein localization to synapse (GO:0035418, p=8.77e-06); cognition (GO:0050890, p=1.77e-05); regulation of membrane potential (GO:0042391, p=3.95e-05); synaptic transmission, glutamatergic (GO:0035249, p=1.15e-04); regulation of postsynapse organization (GO:0099175, p=1.33e-04); regulation of transmembrane transporter activity (GO:0022898, p=1.54e-04)"
Nlgn1,14,"regulation of synapse organization (GO:0050807, p=2.44e-11); regulation of synapse structure or activity (GO:0050803, p=5.27e-11); synapse assembly (GO:0007416, p=1.40e-08); cell junction assembly (GO:0034329, p=3.51e-08); postsynapse organization (GO:0099173, p=3.97e-07); negative regulation of cell projection organization (GO:0031345, p=5.69e-07); protein localization to cell junction (GO:1902414, p=1.30e-06); dendrite development (GO:0016358, p=3.18e-06); protein localization to synapse (GO:0035418, p=8.77e-06); negative regulation of neuron projection development (GO:0010977, p=3.01e-05); regulation of membrane potential (GO:0042391, p=3.95e-05); synaptic transmission, glutamatergic (GO:0035249, p=1.15e-04); regulation of postsynapse organization (GO:0099175, p=1.33e-04); regulation of transmembrane transporter activity (GO:0022898, p=1.54e-04)"
Kalrn,11,"axonogenesis (GO:0007409, p=1.67e-11); regulation of synapse organization (GO:0050807, p=2.44e-11); regulation of synapse structure or activity (GO:0050803, p=5.27e-11); postsynapse organization (GO:0099173, p=3.97e-07); protein localization to cell junction (GO:1902414, p=1.30e-06); protein localization to cell periphery (GO:1990778, p=2.10e-06); locomotory behavior (GO:0007626, p=2.57e-06); dendrite development (GO:0016358, p=3.18e-06); protein localization to synapse (GO:0035418, p=8.77e-06); cognition (GO:0050890, p=1.77e-05); regulation of postsynapse organization (GO:0099175, p=1.33e-04)"
Ptprs,10,"axonogenesis (GO:0007409, p=1.67e-11); regulation of synapse organization (GO:0050807, p=2.44e-11); regulation of synapse structure or activity (GO:0050803, p=5.27e-11); synapse assembly (GO:0007416, p=1.40e-08); cell junction assembly (GO:0034329, p=3.51e-08); postsynapse organization (GO:0099173, p=3.97e-07); negative regulation of cell projection organization (GO:0031345, p=5.69e-07); dendrite development (GO:0016358, p=3.18e-06); negative regulation of neuron projection development (GO:0010977, p=3.01e-05); regulation of postsynapse organization (GO:0099175, p=1.33e-04)"
Grin2a,10,"postsynapse organization (GO:0099173, p=3.97e-07); protein localization to cell junction (GO:1902414, p=1.30e-06); protein localization to cell periphery (GO:1990778, p=2.10e-06); locomotory behavior (GO:0007626, p=2.57e-06); protein localization to synapse (GO:0035418, p=8.77e-06); regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.04e-05); cognition (GO:0050890, p=1.77e-05); regulation of membrane potential (GO:0042391, p=3.95e-05); synaptic transmission, glutamatergic (GO:0035249, p=1.15e-04); regulation of transmembrane transporter activity (GO:0022898, p=1.54e-04)"
Epha4,9,"axonogenesis (GO:0007409, p=1.67e-11); regulation of synapse organization (GO:0050807, p=2.44e-11); regulation of synapse structure or activity (GO:0050803, p=5.27e-11); postsynapse organization (GO:0099173, p=3.97e-07); negative regulation of cell projection organization (GO:0031345, p=5.69e-07); locomotory behavior (GO:0007626, p=2.57e-06); dendrite development (GO:0016358, p=3.18e-06); negative regulation of neuron projection development (GO:0010977, p=3.01e-05); regulation of postsynapse organization (GO:0099175, p=1.33e-04)"
Numb,9,"axonogenesis (GO:0007409, p=1.67e-11); regulation of synapse organization (GO:0050807, p=2.44e-11); regulation of synapse structure or activity (GO:0050803, p=5.27e-11); synapse assembly (GO:0007416, p=1.40e-08); cell junction assembly (GO:0034329, p=3.51e-08); postsynapse organization (GO:0099173, p=3.97e-07); protein localization to cell periphery (GO:1990778, p=2.10e-06); dendrite development (GO:0016358, p=3.18e-06); regulation of postsynapse organization (GO:0099175, p=1.33e-04)"
Cacna1a,9,"axonogenesis (GO:0007409, p=1.67e-11); synapse assembly (GO:0007416, p=1.40e-08); cell junction assembly (GO:0034329, p=3.51e-08); locomotory behavior (GO:0007626, p=2.57e-06); dendrite development (GO:0016358, p=3.18e-06); regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.04e-05); regulation of membrane potential (GO:0042391, p=3.95e-05); synaptic transmission, glutamatergic (GO:0035249, p=1.15e-04); regulation of transmembrane transporter activity (GO:0022898, p=1.54e-04)"
Cdh2,9,"axonogenesis (GO:0007409, p=1.67e-11); regulation of synapse organization (GO:0050807, p=2.44e-11); regulation of synapse structure or activity (GO:0050803, p=5.27e-11); synapse assembly (GO:0007416, p=1.40e-08); cell junction assembly (GO:0034329, p=3.51e-08); postsynapse organization (GO:0099173, p=3.97e-07); protein localization to cell periphery (GO:1990778, p=2.10e-06); synaptic transmission, glutamatergic (GO:0035249, p=1.15e-04); regulation of postsynapse organization (GO:0099175, p=1.33e-04)"
Agrn,9,"axonogenesis (GO:0007409, p=1.67e-11); regulation of synapse organization (GO:0050807, p=2.44e-11); regulation of synapse structure or activity (GO:0050803, p=5.27e-11); synapse assembly (GO:0007416, p=1.40e-08); cell junction assembly (GO:0034329, p=3.51e-08); postsynapse organization (GO:0099173, p=3.97e-07); regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.04e-05); regulation of membrane potential (GO:0042391, p=3.95e-05); regulation of transmembrane transporter activity (GO:0022898, p=1.54e-04)"
