gene,frequency,go_terms
Nlgn1,8,"synaptic transmission, glutamatergic (GO:0035249, p=9.57e-04); regulation of synaptic transmission, glutamatergic (GO:0051966, p=1.63e-03); regulation of synapse organization (GO:0050807, p=6.09e-03); regulation of synapse structure or activity (GO:0050803, p=7.55e-03); postsynapse organization (GO:0099173, p=1.34e-02); cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=2.29e-02); protein localization to cell junction (GO:1902414, p=2.78e-02); synapse assembly (GO:0007416, p=4.47e-02)"
Malat1,8,"regulation of mRNA processing (GO:0050684, p=1.27e-03); RNA splicing, via transesterification reactions (GO:0000375, p=2.26e-03); RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377, p=2.26e-03); mRNA splicing, via spliceosome (GO:0000398, p=2.26e-03); regulation of mRNA splicing, via spliceosome (GO:0048024, p=5.62e-03); regulation of synapse organization (GO:0050807, p=6.09e-03); regulation of synapse structure or activity (GO:0050803, p=7.55e-03); mRNA processing (GO:0006397, p=2.76e-02)"
Homer1,6,"synaptic transmission, glutamatergic (GO:0035249, p=9.57e-04); regulation of synaptic transmission, glutamatergic (GO:0051966, p=1.63e-03); regulation of synapse organization (GO:0050807, p=6.09e-03); regulation of synapse structure or activity (GO:0050803, p=7.55e-03); postsynapse organization (GO:0099173, p=1.34e-02); protein localization to cell junction (GO:1902414, p=2.78e-02)"
Snrnp70,6,"regulation of mRNA processing (GO:0050684, p=1.27e-03); RNA splicing, via transesterification reactions (GO:0000375, p=2.26e-03); RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377, p=2.26e-03); mRNA splicing, via spliceosome (GO:0000398, p=2.26e-03); regulation of mRNA splicing, via spliceosome (GO:0048024, p=5.62e-03); mRNA processing (GO:0006397, p=2.76e-02)"
Ddx5,6,"regulation of mRNA processing (GO:0050684, p=1.27e-03); RNA splicing, via transesterification reactions (GO:0000375, p=2.26e-03); RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377, p=2.26e-03); mRNA splicing, via spliceosome (GO:0000398, p=2.26e-03); regulation of mRNA splicing, via spliceosome (GO:0048024, p=5.62e-03); mRNA processing (GO:0006397, p=2.76e-02)"
Rbfox1,6,"regulation of mRNA processing (GO:0050684, p=1.27e-03); RNA splicing, via transesterification reactions (GO:0000375, p=2.26e-03); RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377, p=2.26e-03); mRNA splicing, via spliceosome (GO:0000398, p=2.26e-03); regulation of mRNA splicing, via spliceosome (GO:0048024, p=5.62e-03); mRNA processing (GO:0006397, p=2.76e-02)"
Son,6,"regulation of mRNA processing (GO:0050684, p=1.27e-03); RNA splicing, via transesterification reactions (GO:0000375, p=2.26e-03); RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377, p=2.26e-03); mRNA splicing, via spliceosome (GO:0000398, p=2.26e-03); regulation of mRNA splicing, via spliceosome (GO:0048024, p=5.62e-03); mRNA processing (GO:0006397, p=2.76e-02)"
Srsf2,6,"regulation of mRNA processing (GO:0050684, p=1.27e-03); RNA splicing, via transesterification reactions (GO:0000375, p=2.26e-03); RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377, p=2.26e-03); mRNA splicing, via spliceosome (GO:0000398, p=2.26e-03); regulation of mRNA splicing, via spliceosome (GO:0048024, p=5.62e-03); mRNA processing (GO:0006397, p=2.76e-02)"
Ptprs,6,"regulation of synapse organization (GO:0050807, p=6.09e-03); regulation of synapse structure or activity (GO:0050803, p=7.55e-03); postsynapse organization (GO:0099173, p=1.34e-02); cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=2.29e-02); axonogenesis (GO:0007409, p=2.87e-02); synapse assembly (GO:0007416, p=4.47e-02)"
Magi2,6,"regulation of synapse organization (GO:0050807, p=6.09e-03); regulation of synapse structure or activity (GO:0050803, p=7.55e-03); postsynapse organization (GO:0099173, p=1.34e-02); cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=2.29e-02); protein localization to cell junction (GO:1902414, p=2.78e-02); synapse assembly (GO:0007416, p=4.47e-02)"
