gene,frequency,go_terms
Nedd4l,17,"action potential (GO:0001508, p=9.60e-07); regulation of membrane potential (GO:0042391, p=1.08e-06); developmental cell growth (GO:0048588, p=3.42e-04); cell junction assembly (GO:0034329, p=4.18e-04); membrane repolarization (GO:0086009, p=1.92e-03); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=2.10e-03); regulation of transmembrane transporter activity (GO:0022898, p=2.71e-03); regulation of monoatomic ion transmembrane transport (GO:0034765, p=3.17e-03); neuron projection extension (GO:1990138, p=3.47e-03); regulation of transporter activity (GO:0032409, p=3.81e-03); developmental growth involved in morphogenesis (GO:0060560, p=3.81e-03); regulation of metal ion transport (GO:0010959, p=1.38e-02); regulation of monoatomic cation transmembrane transport (GO:1904062, p=1.42e-02); potassium ion transmembrane transport (GO:0071805, p=3.06e-02); cardiac muscle cell action potential involved in contraction (GO:0086002, p=3.67e-02); regulation of developmental growth (GO:0048638, p=3.77e-02); heart contraction (GO:0060047, p=3.96e-02)"
Nrp1,12,"axonogenesis (GO:0007409, p=1.07e-07); axon guidance (GO:0007411, p=3.92e-06); neuron projection guidance (GO:0097485, p=3.92e-06); developmental cell growth (GO:0048588, p=3.42e-04); cell junction assembly (GO:0034329, p=4.18e-04); retinal ganglion cell axon guidance (GO:0031290, p=1.46e-03); neuron recognition (GO:0008038, p=2.41e-03); neuron projection extension (GO:1990138, p=3.47e-03); developmental growth involved in morphogenesis (GO:0060560, p=3.81e-03); postsynapse organization (GO:0099173, p=1.69e-02); regulation of developmental growth (GO:0048638, p=3.77e-02); axon extension (GO:0048675, p=3.89e-02)"
Nrcam,12,"axonogenesis (GO:0007409, p=1.07e-07); cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=8.44e-07); action potential (GO:0001508, p=9.60e-07); regulation of membrane potential (GO:0042391, p=1.08e-06); axon guidance (GO:0007411, p=3.92e-06); neuron projection guidance (GO:0097485, p=3.92e-06); homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156, p=4.19e-04); regulation of synapse organization (GO:0050807, p=8.49e-04); regulation of synapse structure or activity (GO:0050803, p=1.08e-03); retinal ganglion cell axon guidance (GO:0031290, p=1.46e-03); neuron recognition (GO:0008038, p=2.41e-03); postsynapse organization (GO:0099173, p=1.69e-02)"
Epha7,11,"axonogenesis (GO:0007409, p=1.07e-07); axon guidance (GO:0007411, p=3.92e-06); neuron projection guidance (GO:0097485, p=3.92e-06); developmental cell growth (GO:0048588, p=3.42e-04); cell junction assembly (GO:0034329, p=4.18e-04); regulation of synapse organization (GO:0050807, p=8.49e-04); regulation of synapse structure or activity (GO:0050803, p=1.08e-03); retinal ganglion cell axon guidance (GO:0031290, p=1.46e-03); developmental growth involved in morphogenesis (GO:0060560, p=3.81e-03); postsynapse organization (GO:0099173, p=1.69e-02); regulation of developmental growth (GO:0048638, p=3.77e-02)"
Ptprs,11,"axonogenesis (GO:0007409, p=1.07e-07); cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742, p=8.44e-07); developmental cell growth (GO:0048588, p=3.42e-04); cell junction assembly (GO:0034329, p=4.18e-04); regulation of synapse organization (GO:0050807, p=8.49e-04); regulation of synapse structure or activity (GO:0050803, p=1.08e-03); neuron projection extension (GO:1990138, p=3.47e-03); developmental growth involved in morphogenesis (GO:0060560, p=3.81e-03); postsynapse organization (GO:0099173, p=1.69e-02); regulation of developmental growth (GO:0048638, p=3.77e-02); axon extension (GO:0048675, p=3.89e-02)"
Cacna2d1,11,"action potential (GO:0001508, p=9.60e-07); regulation of membrane potential (GO:0042391, p=1.08e-06); membrane repolarization (GO:0086009, p=1.92e-03); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=2.10e-03); regulation of transmembrane transporter activity (GO:0022898, p=2.71e-03); regulation of monoatomic ion transmembrane transport (GO:0034765, p=3.17e-03); regulation of transporter activity (GO:0032409, p=3.81e-03); regulation of metal ion transport (GO:0010959, p=1.38e-02); regulation of monoatomic cation transmembrane transport (GO:1904062, p=1.42e-02); cardiac muscle cell action potential involved in contraction (GO:0086002, p=3.67e-02); heart contraction (GO:0060047, p=3.96e-02)"
Cacnb2,10,"action potential (GO:0001508, p=9.60e-07); regulation of membrane potential (GO:0042391, p=1.08e-06); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=2.10e-03); regulation of transmembrane transporter activity (GO:0022898, p=2.71e-03); regulation of monoatomic ion transmembrane transport (GO:0034765, p=3.17e-03); regulation of transporter activity (GO:0032409, p=3.81e-03); regulation of metal ion transport (GO:0010959, p=1.38e-02); regulation of monoatomic cation transmembrane transport (GO:1904062, p=1.42e-02); cardiac muscle cell action potential involved in contraction (GO:0086002, p=3.67e-02); heart contraction (GO:0060047, p=3.96e-02)"
Atp1b1,10,"regulation of membrane potential (GO:0042391, p=1.08e-06); membrane repolarization (GO:0086009, p=1.92e-03); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=2.10e-03); regulation of transmembrane transporter activity (GO:0022898, p=2.71e-03); regulation of monoatomic ion transmembrane transport (GO:0034765, p=3.17e-03); regulation of transporter activity (GO:0032409, p=3.81e-03); regulation of metal ion transport (GO:0010959, p=1.38e-02); regulation of monoatomic cation transmembrane transport (GO:1904062, p=1.42e-02); potassium ion transmembrane transport (GO:0071805, p=3.06e-02); heart contraction (GO:0060047, p=3.96e-02)"
Hcn1,9,"action potential (GO:0001508, p=9.60e-07); regulation of membrane potential (GO:0042391, p=1.08e-06); regulation of postsynaptic membrane potential (GO:0060078, p=1.86e-03); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=2.10e-03); regulation of transmembrane transporter activity (GO:0022898, p=2.71e-03); regulation of monoatomic ion transmembrane transport (GO:0034765, p=3.17e-03); regulation of transporter activity (GO:0032409, p=3.81e-03); regulation of monoatomic cation transmembrane transport (GO:1904062, p=1.42e-02); potassium ion transmembrane transport (GO:0071805, p=3.06e-02)"
Grin2a,9,"action potential (GO:0001508, p=9.60e-07); regulation of membrane potential (GO:0042391, p=1.08e-06); regulation of postsynaptic membrane potential (GO:0060078, p=1.86e-03); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=2.10e-03); regulation of transmembrane transporter activity (GO:0022898, p=2.71e-03); regulation of monoatomic ion transmembrane transport (GO:0034765, p=3.17e-03); regulation of transporter activity (GO:0032409, p=3.81e-03); regulation of monoatomic cation transmembrane transport (GO:1904062, p=1.42e-02); postsynapse organization (GO:0099173, p=1.69e-02)"
Kcnn2,9,"action potential (GO:0001508, p=9.60e-07); regulation of membrane potential (GO:0042391, p=1.08e-06); membrane repolarization (GO:0086009, p=1.92e-03); regulation of monoatomic ion transmembrane transport (GO:0034765, p=3.17e-03); regulation of metal ion transport (GO:0010959, p=1.38e-02); regulation of monoatomic cation transmembrane transport (GO:1904062, p=1.42e-02); potassium ion transmembrane transport (GO:0071805, p=3.06e-02); cardiac muscle cell action potential involved in contraction (GO:0086002, p=3.67e-02); heart contraction (GO:0060047, p=3.96e-02)"
Nr3c2,9,"regulation of membrane potential (GO:0042391, p=1.08e-06); regulation of postsynaptic membrane potential (GO:0060078, p=1.86e-03); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=2.10e-03); regulation of transmembrane transporter activity (GO:0022898, p=2.71e-03); regulation of monoatomic ion transmembrane transport (GO:0034765, p=3.17e-03); regulation of transporter activity (GO:0032409, p=3.81e-03); regulation of metal ion transport (GO:0010959, p=1.38e-02); regulation of monoatomic cation transmembrane transport (GO:1904062, p=1.42e-02); potassium ion transmembrane transport (GO:0071805, p=3.06e-02)"
Plxna4,8,"axonogenesis (GO:0007409, p=1.07e-07); axon guidance (GO:0007411, p=3.92e-06); neuron projection guidance (GO:0097485, p=3.92e-06); developmental cell growth (GO:0048588, p=3.42e-04); neuron projection extension (GO:1990138, p=3.47e-03); developmental growth involved in morphogenesis (GO:0060560, p=3.81e-03); regulation of developmental growth (GO:0048638, p=3.77e-02); axon extension (GO:0048675, p=3.89e-02)"
