gene,frequency,go_terms
Dvl1,13,"axonogenesis (GO:0007409, p=6.85e-14); vesicle-mediated transport in synapse (GO:0099003, p=1.11e-13); synaptic vesicle cycle (GO:0099504, p=5.05e-13); regulation of synapse structure or activity (GO:0050803, p=2.87e-11); regulation of synapse organization (GO:0050807, p=5.84e-11); postsynapse organization (GO:0099173, p=3.19e-09); regulation of membrane potential (GO:0042391, p=2.08e-08); neuron projection extension (GO:1990138, p=3.92e-08); developmental cell growth (GO:0048588, p=1.67e-07); developmental growth involved in morphogenesis (GO:0060560, p=2.25e-07); regulation of neurotransmitter levels (GO:0001505, p=6.04e-07); synaptic vesicle exocytosis (GO:0016079, p=1.13e-06); neurotransmitter transport (GO:0006836, p=1.46e-06)"
Syt4,12,"vesicle-mediated transport in synapse (GO:0099003, p=1.11e-13); synaptic vesicle cycle (GO:0099504, p=5.05e-13); regulation of synaptic plasticity (GO:0048167, p=1.61e-08); learning or memory (GO:0007611, p=1.80e-08); neuron projection extension (GO:1990138, p=3.92e-08); cognition (GO:0050890, p=1.08e-07); developmental cell growth (GO:0048588, p=1.67e-07); developmental growth involved in morphogenesis (GO:0060560, p=2.25e-07); regulation of neurotransmitter levels (GO:0001505, p=6.04e-07); memory (GO:0007613, p=9.27e-07); synaptic vesicle exocytosis (GO:0016079, p=1.13e-06); neurotransmitter transport (GO:0006836, p=1.46e-06)"
Snca,12,"vesicle-mediated transport in synapse (GO:0099003, p=1.11e-13); synaptic vesicle cycle (GO:0099504, p=5.05e-13); regulation of synapse structure or activity (GO:0050803, p=2.87e-11); regulation of synapse organization (GO:0050807, p=5.84e-11); regulation of synaptic plasticity (GO:0048167, p=1.61e-08); regulation of membrane potential (GO:0042391, p=2.08e-08); regulation of transmembrane transporter activity (GO:0022898, p=3.38e-07); regulation of neurotransmitter levels (GO:0001505, p=6.04e-07); regulation of transporter activity (GO:0032409, p=9.86e-07); synaptic vesicle exocytosis (GO:0016079, p=1.13e-06); neurotransmitter transport (GO:0006836, p=1.46e-06); locomotory behavior (GO:0007626, p=2.05e-06)"
Cacna1a,10,"axonogenesis (GO:0007409, p=6.85e-14); vesicle-mediated transport in synapse (GO:0099003, p=1.11e-13); synaptic vesicle cycle (GO:0099504, p=5.05e-13); regulation of membrane potential (GO:0042391, p=2.08e-08); regulation of transmembrane transporter activity (GO:0022898, p=3.38e-07); regulation of neurotransmitter levels (GO:0001505, p=6.04e-07); regulation of transporter activity (GO:0032409, p=9.86e-07); synaptic vesicle exocytosis (GO:0016079, p=1.13e-06); neurotransmitter transport (GO:0006836, p=1.46e-06); locomotory behavior (GO:0007626, p=2.05e-06)"
Mapt,10,"axonogenesis (GO:0007409, p=6.85e-14); regulation of synaptic plasticity (GO:0048167, p=1.61e-08); learning or memory (GO:0007611, p=1.80e-08); regulation of membrane potential (GO:0042391, p=2.08e-08); neuron projection extension (GO:1990138, p=3.92e-08); cognition (GO:0050890, p=1.08e-07); developmental cell growth (GO:0048588, p=1.67e-07); developmental growth involved in morphogenesis (GO:0060560, p=2.25e-07); memory (GO:0007613, p=9.27e-07); locomotory behavior (GO:0007626, p=2.05e-06)"
Rims2,10,"vesicle-mediated transport in synapse (GO:0099003, p=1.11e-13); synaptic vesicle cycle (GO:0099504, p=5.05e-13); regulation of synaptic plasticity (GO:0048167, p=1.61e-08); regulation of membrane potential (GO:0042391, p=2.08e-08); neuron projection extension (GO:1990138, p=3.92e-08); developmental cell growth (GO:0048588, p=1.67e-07); developmental growth involved in morphogenesis (GO:0060560, p=2.25e-07); regulation of neurotransmitter levels (GO:0001505, p=6.04e-07); synaptic vesicle exocytosis (GO:0016079, p=1.13e-06); neurotransmitter transport (GO:0006836, p=1.46e-06)"
Snap25,10,"vesicle-mediated transport in synapse (GO:0099003, p=1.11e-13); synaptic vesicle cycle (GO:0099504, p=5.05e-13); regulation of synaptic plasticity (GO:0048167, p=1.61e-08); learning or memory (GO:0007611, p=1.80e-08); cognition (GO:0050890, p=1.08e-07); regulation of neurotransmitter levels (GO:0001505, p=6.04e-07); memory (GO:0007613, p=9.27e-07); synaptic vesicle exocytosis (GO:0016079, p=1.13e-06); neurotransmitter transport (GO:0006836, p=1.46e-06); locomotory behavior (GO:0007626, p=2.05e-06)"
Ephb2,9,"axonogenesis (GO:0007409, p=6.85e-14); regulation of synapse structure or activity (GO:0050803, p=2.87e-11); regulation of synapse organization (GO:0050807, p=5.84e-11); postsynapse organization (GO:0099173, p=3.19e-09); regulation of synaptic plasticity (GO:0048167, p=1.61e-08); learning or memory (GO:0007611, p=1.80e-08); cognition (GO:0050890, p=1.08e-07); regulation of transmembrane transporter activity (GO:0022898, p=3.38e-07); regulation of transporter activity (GO:0032409, p=9.86e-07)"
Slc17a7,9,"vesicle-mediated transport in synapse (GO:0099003, p=1.11e-13); synaptic vesicle cycle (GO:0099504, p=5.05e-13); regulation of synapse structure or activity (GO:0050803, p=2.87e-11); learning or memory (GO:0007611, p=1.80e-08); regulation of membrane potential (GO:0042391, p=2.08e-08); cognition (GO:0050890, p=1.08e-07); regulation of neurotransmitter levels (GO:0001505, p=6.04e-07); memory (GO:0007613, p=9.27e-07); neurotransmitter transport (GO:0006836, p=1.46e-06)"
Dnm2,8,"axonogenesis (GO:0007409, p=6.85e-14); vesicle-mediated transport in synapse (GO:0099003, p=1.11e-13); synaptic vesicle cycle (GO:0099504, p=5.05e-13); neuron projection extension (GO:1990138, p=3.92e-08); developmental cell growth (GO:0048588, p=1.67e-07); developmental growth involved in morphogenesis (GO:0060560, p=2.25e-07); regulation of transmembrane transporter activity (GO:0022898, p=3.38e-07); regulation of transporter activity (GO:0032409, p=9.86e-07)"
Syt1,8,"vesicle-mediated transport in synapse (GO:0099003, p=1.11e-13); synaptic vesicle cycle (GO:0099504, p=5.05e-13); neuron projection extension (GO:1990138, p=3.92e-08); developmental cell growth (GO:0048588, p=1.67e-07); developmental growth involved in morphogenesis (GO:0060560, p=2.25e-07); regulation of neurotransmitter levels (GO:0001505, p=6.04e-07); synaptic vesicle exocytosis (GO:0016079, p=1.13e-06); neurotransmitter transport (GO:0006836, p=1.46e-06)"
Ppfia2,8,"vesicle-mediated transport in synapse (GO:0099003, p=1.11e-13); synaptic vesicle cycle (GO:0099504, p=5.05e-13); regulation of synapse structure or activity (GO:0050803, p=2.87e-11); regulation of synapse organization (GO:0050807, p=5.84e-11); postsynapse organization (GO:0099173, p=3.19e-09); regulation of neurotransmitter levels (GO:0001505, p=6.04e-07); synaptic vesicle exocytosis (GO:0016079, p=1.13e-06); neurotransmitter transport (GO:0006836, p=1.46e-06)"
Dtnbp1,8,"vesicle-mediated transport in synapse (GO:0099003, p=1.11e-13); synaptic vesicle cycle (GO:0099504, p=5.05e-13); regulation of synapse structure or activity (GO:0050803, p=2.87e-11); regulation of synapse organization (GO:0050807, p=5.84e-11); postsynapse organization (GO:0099173, p=3.19e-09); regulation of neurotransmitter levels (GO:0001505, p=6.04e-07); synaptic vesicle exocytosis (GO:0016079, p=1.13e-06); neurotransmitter transport (GO:0006836, p=1.46e-06)"
Vamp2,8,"vesicle-mediated transport in synapse (GO:0099003, p=1.11e-13); synaptic vesicle cycle (GO:0099504, p=5.05e-13); regulation of synaptic plasticity (GO:0048167, p=1.61e-08); regulation of transmembrane transporter activity (GO:0022898, p=3.38e-07); regulation of neurotransmitter levels (GO:0001505, p=6.04e-07); regulation of transporter activity (GO:0032409, p=9.86e-07); synaptic vesicle exocytosis (GO:0016079, p=1.13e-06); neurotransmitter transport (GO:0006836, p=1.46e-06)"
Grin2b,8,"regulation of synapse structure or activity (GO:0050803, p=2.87e-11); regulation of synapse organization (GO:0050807, p=5.84e-11); postsynapse organization (GO:0099173, p=3.19e-09); regulation of synaptic plasticity (GO:0048167, p=1.61e-08); learning or memory (GO:0007611, p=1.80e-08); regulation of membrane potential (GO:0042391, p=2.08e-08); cognition (GO:0050890, p=1.08e-07); memory (GO:0007613, p=9.27e-07)"
Shank2,8,"regulation of synapse structure or activity (GO:0050803, p=2.87e-11); regulation of synapse organization (GO:0050807, p=5.84e-11); postsynapse organization (GO:0099173, p=3.19e-09); regulation of synaptic plasticity (GO:0048167, p=1.61e-08); learning or memory (GO:0007611, p=1.80e-08); cognition (GO:0050890, p=1.08e-07); memory (GO:0007613, p=9.27e-07); locomotory behavior (GO:0007626, p=2.05e-06)"
Prnp,8,"regulation of synapse structure or activity (GO:0050803, p=2.87e-11); regulation of synapse organization (GO:0050807, p=5.84e-11); postsynapse organization (GO:0099173, p=3.19e-09); regulation of synaptic plasticity (GO:0048167, p=1.61e-08); learning or memory (GO:0007611, p=1.80e-08); cognition (GO:0050890, p=1.08e-07); regulation of transmembrane transporter activity (GO:0022898, p=3.38e-07); regulation of transporter activity (GO:0032409, p=9.86e-07)"
Rab3a,7,"axonogenesis (GO:0007409, p=6.85e-14); vesicle-mediated transport in synapse (GO:0099003, p=1.11e-13); synaptic vesicle cycle (GO:0099504, p=5.05e-13); regulation of synaptic plasticity (GO:0048167, p=1.61e-08); regulation of neurotransmitter levels (GO:0001505, p=6.04e-07); synaptic vesicle exocytosis (GO:0016079, p=1.13e-06); neurotransmitter transport (GO:0006836, p=1.46e-06)"
Actr3,7,"axonogenesis (GO:0007409, p=6.85e-14); regulation of synapse structure or activity (GO:0050803, p=2.87e-11); regulation of synapse organization (GO:0050807, p=5.84e-11); postsynapse organization (GO:0099173, p=3.19e-09); neuron projection extension (GO:1990138, p=3.92e-08); developmental cell growth (GO:0048588, p=1.67e-07); developmental growth involved in morphogenesis (GO:0060560, p=2.25e-07)"
Ptprs,7,"axonogenesis (GO:0007409, p=6.85e-14); regulation of synapse structure or activity (GO:0050803, p=2.87e-11); regulation of synapse organization (GO:0050807, p=5.84e-11); postsynapse organization (GO:0099173, p=3.19e-09); neuron projection extension (GO:1990138, p=3.92e-08); developmental cell growth (GO:0048588, p=1.67e-07); developmental growth involved in morphogenesis (GO:0060560, p=2.25e-07)"
Nrg1,7,"vesicle-mediated transport in synapse (GO:0099003, p=1.11e-13); regulation of synapse structure or activity (GO:0050803, p=2.87e-11); regulation of synapse organization (GO:0050807, p=5.84e-11); learning or memory (GO:0007611, p=1.80e-08); cognition (GO:0050890, p=1.08e-07); memory (GO:0007613, p=9.27e-07); locomotory behavior (GO:0007626, p=2.05e-06)"
Unc13b,7,"vesicle-mediated transport in synapse (GO:0099003, p=1.11e-13); synaptic vesicle cycle (GO:0099504, p=5.05e-13); regulation of synaptic plasticity (GO:0048167, p=1.61e-08); regulation of membrane potential (GO:0042391, p=2.08e-08); regulation of neurotransmitter levels (GO:0001505, p=6.04e-07); synaptic vesicle exocytosis (GO:0016079, p=1.13e-06); neurotransmitter transport (GO:0006836, p=1.46e-06)"
Fgf14,7,"vesicle-mediated transport in synapse (GO:0099003, p=1.11e-13); synaptic vesicle cycle (GO:0099504, p=5.05e-13); regulation of synaptic plasticity (GO:0048167, p=1.61e-08); regulation of membrane potential (GO:0042391, p=2.08e-08); regulation of transmembrane transporter activity (GO:0022898, p=3.38e-07); regulation of transporter activity (GO:0032409, p=9.86e-07); locomotory behavior (GO:0007626, p=2.05e-06)"
Cfl1,7,"regulation of synapse structure or activity (GO:0050803, p=2.87e-11); regulation of synapse organization (GO:0050807, p=5.84e-11); postsynapse organization (GO:0099173, p=3.19e-09); regulation of synaptic plasticity (GO:0048167, p=1.61e-08); developmental growth involved in morphogenesis (GO:0060560, p=2.25e-07); regulation of transmembrane transporter activity (GO:0022898, p=3.38e-07); regulation of transporter activity (GO:0032409, p=9.86e-07)"
Hnrnpk,7,"regulation of synapse structure or activity (GO:0050803, p=2.87e-11); regulation of synapse organization (GO:0050807, p=5.84e-11); postsynapse organization (GO:0099173, p=3.19e-09); regulation of synaptic plasticity (GO:0048167, p=1.61e-08); neuron projection extension (GO:1990138, p=3.92e-08); developmental cell growth (GO:0048588, p=1.67e-07); developmental growth involved in morphogenesis (GO:0060560, p=2.25e-07)"
Shank1,7,"postsynapse organization (GO:0099173, p=3.19e-09); learning or memory (GO:0007611, p=1.80e-08); regulation of membrane potential (GO:0042391, p=2.08e-08); cognition (GO:0050890, p=1.08e-07); regulation of transmembrane transporter activity (GO:0022898, p=3.38e-07); memory (GO:0007613, p=9.27e-07); regulation of transporter activity (GO:0032409, p=9.86e-07)"
Nfix,6,"axonogenesis (GO:0007409, p=6.85e-14); learning or memory (GO:0007611, p=1.80e-08); cognition (GO:0050890, p=1.08e-07); developmental cell growth (GO:0048588, p=1.67e-07); developmental growth involved in morphogenesis (GO:0060560, p=2.25e-07); memory (GO:0007613, p=9.27e-07)"
Cntnap2,6,"axonogenesis (GO:0007409, p=6.85e-14); postsynapse organization (GO:0099173, p=3.19e-09); learning or memory (GO:0007611, p=1.80e-08); regulation of membrane potential (GO:0042391, p=2.08e-08); cognition (GO:0050890, p=1.08e-07); locomotory behavior (GO:0007626, p=2.05e-06)"
Robo1,6,"axonogenesis (GO:0007409, p=6.85e-14); regulation of synapse structure or activity (GO:0050803, p=2.87e-11); regulation of synapse organization (GO:0050807, p=5.84e-11); neuron projection extension (GO:1990138, p=3.92e-08); developmental cell growth (GO:0048588, p=1.67e-07); developmental growth involved in morphogenesis (GO:0060560, p=2.25e-07)"
Actb,6,"axonogenesis (GO:0007409, p=6.85e-14); vesicle-mediated transport in synapse (GO:0099003, p=1.11e-13); synaptic vesicle cycle (GO:0099504, p=5.05e-13); postsynapse organization (GO:0099173, p=3.19e-09); regulation of transmembrane transporter activity (GO:0022898, p=3.38e-07); regulation of transporter activity (GO:0032409, p=9.86e-07)"
