pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOMF_PROTEIN_DIMERIZATION_ACTIVITY,0.00046356776914512,0.0524287034300223,0.49849310876659,-0.531154066542469,-2.16590301643106,25,Atf6|H3f3b|Ptprt|Hsp90aa1|Pgrmc1|Ano3|Syne1|Ppp2r1a|Zbtb16|Klhl7|Ywhah|Atp1b1
GOMF_STRUCTURAL_MOLECULE_ACTIVITY,0.000557752164149174,0.0524287034300223,0.477270815362862,-0.449394029765057,-2.0833522807711,38,Myl6|Rpl19|Rps10|Rpl9|Rpl13|Homer1|Rpl17|Dmd|Rps23|Tuba1b|Map7|Tubb4b|Vcl|Rps14|Arpc5|Actr2|Rplp1|Rpl27a|Arpc2|Actg1|Rps15|Tubb2b|Actr3|Rpsa|Cltc|Tubb3|Tuba1a|Rock2|Nebl
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,0.0013333867500672,0.083558903004211,0.45505986738723,-0.63111348971368,-1.9448871278684,11,Rpl19|Rps10|Rpl9|Rpl13|Rpl17|Rps23|Rps14|Rplp1|Rpl27a|Rps15
GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING,0.0159709562910105,0.426395219567427,0.352487857583619,-0.712676908307283,-1.67699835878009,5,Hsp90aa1|Pkm|Atp1b1|Hspa8
GOMF_MHC_PROTEIN_COMPLEX_BINDING,0.0159709562910105,0.426395219567427,0.352487857583619,-0.712676908307283,-1.67699835878009,5,Hsp90aa1|Pkm|Atp1b1|Hspa8
GOMF_PROTEIN_HETERODIMERIZATION_ACTIVITY,0.0182416459055904,0.426395219567427,0.352487857583619,-0.587157706434532,-1.69564603755093,9,Atf6|H3f3b|Ppp2r1a|Ywhah|Atp1b1
GOMF_PROTEIN_HOMODIMERIZATION_ACTIVITY,0.0204125371069513,0.426395219567427,0.352487857583619,-0.493717071354358,-1.66831939862591,14,Ptprt|Hsp90aa1|Pgrmc1|Syne1|Zbtb16|Klhl7|Trim9
GOMF_TRANSCRIPTION_COREPRESSOR_ACTIVITY,0.017630091938541,0.426395219567427,0.352487857583619,0.695821985574033,1.73806315237969,5,Hdac7|Bend6|Noc2l|Dnmt3a
GOMF_UBIQUITIN_LIKE_PROTEIN_LIGASE_BINDING,0.0142898329692425,0.426395219567427,0.380730400722792,-0.457632215683816,-1.72374440774445,19,Atf6|Hsp90aa1|Ubb|Ubc|Atp6v0c|Tuba1b|Vcl|Hspa8|Fhit|Ckb
GOMF_AMIDE_BINDING,0.0337663598468384,0.577097786473237,0.321775918075361,-0.397324619359945,-1.56900356601373,23,Itm2c|Ppp3r1|Pgrmc1|Ppia|Ranbp2|Kpna1|Gpr22|Ap2b1|Pcsk5|Cst3|Gria3
GOMF_PEPTIDE_BINDING,0.0317426006583274,0.577097786473237,0.321775918075361,-0.414413027467066,-1.6144350059501,22,Itm2c|Ppp3r1|Pgrmc1|Ppia|Ranbp2|Kpna1|Gpr22|Ap2b1|Pcsk5|Cst3|Gria3
GOMF_MOLECULAR_CARRIER_ACTIVITY,0.0529197080291971,0.761904761904762,0.266350657088526,-0.652823920265781,-1.536158433221,5,Kpna1|Xpo1|Hspa8|Tnpo3|Kpnb1
