gene,condition,go_term_count,ID
Apoe,Astrocytes_24hrvs1hr_PTZ,1,GO:0007613
Asic2,Astrocytes_24hrvs1hr_PTZ,2,GO:0034765
Asic2,Astrocytes_24hrvs1hr_PTZ,2,GO:0042391
Atp1b1,Astrocytes_24hrvs1hr_PTZ,6,GO:0034765
Atp1b1,Astrocytes_24hrvs1hr_PTZ,6,GO:0071805
Atp1b1,Astrocytes_24hrvs1hr_PTZ,6,GO:0003015
Atp1b1,Astrocytes_24hrvs1hr_PTZ,6,GO:0042391
Atp1b1,Astrocytes_24hrvs1hr_PTZ,6,GO:0006813
Atp1b1,Astrocytes_24hrvs1hr_PTZ,6,GO:0060047
Brinp1,Astrocytes_24hrvs1hr_PTZ,1,GO:0007613
Cacna1b,Astrocytes_24hrvs1hr_PTZ,3,GO:0060047
Cacna1b,Astrocytes_24hrvs1hr_PTZ,3,GO:0034765
Cacna1b,Astrocytes_24hrvs1hr_PTZ,3,GO:0003015
Cacna1e,Astrocytes_24hrvs1hr_PTZ,3,GO:0003015
Cacna1e,Astrocytes_24hrvs1hr_PTZ,3,GO:0060047
Cacna1e,Astrocytes_24hrvs1hr_PTZ,3,GO:0034765
Cacna2d1,Astrocytes_24hrvs1hr_PTZ,5,GO:0001508
Cacna2d1,Astrocytes_24hrvs1hr_PTZ,5,GO:0042391
Cacna2d1,Astrocytes_24hrvs1hr_PTZ,5,GO:0034765
Cacna2d1,Astrocytes_24hrvs1hr_PTZ,5,GO:0003015
Cacna2d1,Astrocytes_24hrvs1hr_PTZ,5,GO:0060047
Celf4,Astrocytes_24hrvs1hr_PTZ,1,GO:0042391
Dpp10,Astrocytes_24hrvs1hr_PTZ,3,GO:0034765
Dpp10,Astrocytes_24hrvs1hr_PTZ,3,GO:0006813
Dpp10,Astrocytes_24hrvs1hr_PTZ,3,GO:0071805
Gja1,Astrocytes_24hrvs1hr_PTZ,3,GO:0003015
Gja1,Astrocytes_24hrvs1hr_PTZ,3,GO:0060047
Gja1,Astrocytes_24hrvs1hr_PTZ,3,GO:0042391
Grin2a,Astrocytes_24hrvs1hr_PTZ,4,GO:0001508
Grin2a,Astrocytes_24hrvs1hr_PTZ,4,GO:0034765
Grin2a,Astrocytes_24hrvs1hr_PTZ,4,GO:0007613
Grin2a,Astrocytes_24hrvs1hr_PTZ,4,GO:0042391
Hcn1,Astrocytes_24hrvs1hr_PTZ,5,GO:0071805
Hcn1,Astrocytes_24hrvs1hr_PTZ,5,GO:0034765
Hcn1,Astrocytes_24hrvs1hr_PTZ,5,GO:0042391
Hcn1,Astrocytes_24hrvs1hr_PTZ,5,GO:0006813
Hcn1,Astrocytes_24hrvs1hr_PTZ,5,GO:0001508
Kcnj3,Astrocytes_24hrvs1hr_PTZ,3,GO:0034765
Kcnj3,Astrocytes_24hrvs1hr_PTZ,3,GO:0006813
Kcnj3,Astrocytes_24hrvs1hr_PTZ,3,GO:0071805
Kcnn2,Astrocytes_24hrvs1hr_PTZ,7,GO:0034765
Kcnn2,Astrocytes_24hrvs1hr_PTZ,7,GO:0042391
Kcnn2,Astrocytes_24hrvs1hr_PTZ,7,GO:0006813
Kcnn2,Astrocytes_24hrvs1hr_PTZ,7,GO:0071805
Kcnn2,Astrocytes_24hrvs1hr_PTZ,7,GO:0001508
Kcnn2,Astrocytes_24hrvs1hr_PTZ,7,GO:0060047
Kcnn2,Astrocytes_24hrvs1hr_PTZ,7,GO:0003015
Kcnq3,Astrocytes_24hrvs1hr_PTZ,5,GO:0042391
Kcnq3,Astrocytes_24hrvs1hr_PTZ,5,GO:0001508
Kcnq3,Astrocytes_24hrvs1hr_PTZ,5,GO:0006813
Kcnq3,Astrocytes_24hrvs1hr_PTZ,5,GO:0034765
Kcnq3,Astrocytes_24hrvs1hr_PTZ,5,GO:0071805
Kcnq5,Astrocytes_24hrvs1hr_PTZ,3,GO:0006813
Kcnq5,Astrocytes_24hrvs1hr_PTZ,3,GO:0071805
Kcnq5,Astrocytes_24hrvs1hr_PTZ,3,GO:0034765
Nedd4,Astrocytes_24hrvs1hr_PTZ,4,GO:0006813
Nedd4,Astrocytes_24hrvs1hr_PTZ,4,GO:0034765
Nedd4,Astrocytes_24hrvs1hr_PTZ,4,GO:0042391
Nedd4,Astrocytes_24hrvs1hr_PTZ,4,GO:0071805
Ntrk2,Astrocytes_24hrvs1hr_PTZ,3,GO:0007613
Ntrk2,Astrocytes_24hrvs1hr_PTZ,3,GO:0042391
Ntrk2,Astrocytes_24hrvs1hr_PTZ,3,GO:0001508
Scn2a,Astrocytes_24hrvs1hr_PTZ,4,GO:0042391
Scn2a,Astrocytes_24hrvs1hr_PTZ,4,GO:0007613
Scn2a,Astrocytes_24hrvs1hr_PTZ,4,GO:0001508
Scn2a,Astrocytes_24hrvs1hr_PTZ,4,GO:0034765
Sgcd,Astrocytes_24hrvs1hr_PTZ,2,GO:0003015
Sgcd,Astrocytes_24hrvs1hr_PTZ,2,GO:0060047
Sgcz,Astrocytes_24hrvs1hr_PTZ,2,GO:0003015
Sgcz,Astrocytes_24hrvs1hr_PTZ,2,GO:0060047
Slc1a3,Astrocytes_24hrvs1hr_PTZ,2,GO:0006813
Slc1a3,Astrocytes_24hrvs1hr_PTZ,2,GO:0071805
Snap25,Astrocytes_24hrvs1hr_PTZ,1,GO:0007613
Tuba1a,Astrocytes_24hrvs1hr_PTZ,1,GO:0007613
Actb,Astrocytes_24hrvs1hr_SAL,9,GO:1990778
Actb,Astrocytes_24hrvs1hr_SAL,9,GO:0099003
Actb,Astrocytes_24hrvs1hr_SAL,9,GO:0034329
Actb,Astrocytes_24hrvs1hr_SAL,9,GO:0007409
Actb,Astrocytes_24hrvs1hr_SAL,9,GO:0099173
Actb,Astrocytes_24hrvs1hr_SAL,9,GO:0099504
Actb,Astrocytes_24hrvs1hr_SAL,9,GO:1902414
Actb,Astrocytes_24hrvs1hr_SAL,9,GO:0022898
Actb,Astrocytes_24hrvs1hr_SAL,9,GO:0032409
Actg1,Astrocytes_24hrvs1hr_SAL,6,GO:1902414
Actg1,Astrocytes_24hrvs1hr_SAL,6,GO:0034329
Actg1,Astrocytes_24hrvs1hr_SAL,6,GO:0099504
Actg1,Astrocytes_24hrvs1hr_SAL,6,GO:0007409
Actg1,Astrocytes_24hrvs1hr_SAL,6,GO:0099003
Actg1,Astrocytes_24hrvs1hr_SAL,6,GO:1901888
Adam22,Astrocytes_24hrvs1hr_SAL,11,GO:1903539
Adam22,Astrocytes_24hrvs1hr_SAL,11,GO:0007626
Adam22,Astrocytes_24hrvs1hr_SAL,11,GO:0062237
Adam22,Astrocytes_24hrvs1hr_SAL,11,GO:0030534
Adam22,Astrocytes_24hrvs1hr_SAL,11,GO:0008344
Adam22,Astrocytes_24hrvs1hr_SAL,11,GO:0097120
Adam22,Astrocytes_24hrvs1hr_SAL,11,GO:1903829
Adam22,Astrocytes_24hrvs1hr_SAL,11,GO:1902414
Adam22,Astrocytes_24hrvs1hr_SAL,11,GO:0099072
Adam22,Astrocytes_24hrvs1hr_SAL,11,GO:0035418
Adam22,Astrocytes_24hrvs1hr_SAL,11,GO:1990778
Agbl4,Astrocytes_24hrvs1hr_SAL,4,GO:0030705
Agbl4,Astrocytes_24hrvs1hr_SAL,4,GO:0021954
Agbl4,Astrocytes_24hrvs1hr_SAL,4,GO:0021953
Agbl4,Astrocytes_24hrvs1hr_SAL,4,GO:0010970
Ahi1,Astrocytes_24hrvs1hr_SAL,1,GO:0031346
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:1904064
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:0022898
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:2001259
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:0042391
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:0048588
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:1903169
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:0034767
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:0010959
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:0070588
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:1904062
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:0006874
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:0097553
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:0034765
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:1904427
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:0032411
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:0051928
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:1901021
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:0055074
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:0060047
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:0008016
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:0032412
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:0019722
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:0043270
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:0032414
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:0006813
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:0003015
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:0006816
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:1903522
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:0051924
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:0034764
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:0071805
Akap6,Astrocytes_24hrvs1hr_SAL,34,GO:0016049
